proof,name,type,token
bitlyjbgaming,False,bank/money,['bitlyJBGaming']
dgeg824gmailcom,False,online activity,['dgeg824gmailcom']
httpsatebunnycomenusaccountdepositbfcf27e2820100000001000040f1efd8,False,bank/money,['httpsatebunnycomenUSaccountdepositbfcf27e2820100000001000040f1efd8']
egamesphcomlogin,False,casino/gambling,['egamesphcomlogin']
httpstlygcashph,False,bank/money,['httpstlyGCashph']
httpsifunmadapagelinkdx,False,bank/money,['httpsifunmadapagelinkDX']
httponlinebetphgame,False,online activity,['httponlinebetphgame']
accasino12comlogin,False,casino/gambling,['accasino12comlogin']
httpphgamingquestwrl,False,online activity,['httpphgamingquestwrl']
wwwphbetsbet,False,casino/gambling,['wwwphbetsbet']
httpbitglobalgoodcom,False,others,['httpbitglobalgoodcom']
luckyphilcomlogin,False,online activity,['luckyphilcomlogin']
http9dv1t8com,False,online activity,['http9dv1t8com']
luckyphilcomlogin,False,free,['luckyphilcomlogin']
httpox4xtucom,False,online activity,['httpox4xtucom']
httpt6m681com,False,online activity,['httpt6m681com']
httpfdsv05site,False,casino/gambling,['httpfdsv05site']
httpclickmetertrackingcombdoverify,False,bank/money,['httpclickmetertrackingcomBDOVerify']
egamesphcomlogin,False,casino/gambling,['egamesphcomlogin']
httpfdsv09site,False,free,['httpfdsv09site']
bitlyjbgaming,False,online activity,['bitlyJBGaming']
httpsslazadacomphsuonbr,False,online activity,['httpsslazadacomphsUONbr']
httpfdsv14online,False,casino/gambling,['httpfdsv14online']
bitlybingoplus_ph,False,casino/gambling,['bitlyBINGOPLUS_PH']
httpfdsv03online,False,online activity,['httpfdsv03online']
bitlybingo_plusph,False,casino/gambling,['bitlyBingo_PlusPH']
cuttlybingoplus,False,casino/gambling,['cuttlyBingoplus']
fleminggrey54gmailcom,False,online activity,['fleminggrey54gmailcom']
bitlyyour5000reward,False,free,['bitlyyour5000reward']
luedieedgmailcom,False,online activity,['luedieedgmailcom']
http2xnvtecom,False,others,['http2xnvtecom']
thesuperwoodhotelukgmailcom,False,work,['thesuperwoodhotelukgmailcom']
ndka832gmailcom,False,others,['ndka832gmailcom']
httppbgamingquestg7zpsj,False,online activity,['httppbgamingquestG7ZpSj']
abncapitalllcuaegmailcom,False,bank/money,['abncapitalllcuaegmailcom']
httppcplatcom,False,casino/gambling,['httppcplatcom']
httplfhh5xcom,False,bank/money,['httplfhh5xcom']
httpfdsv03contact,False,online activity,['httpfdsv03contact']
httpgaming63pics2q3,False,online activity,['httpgaming63pics2Q3']
idownload ako bigyan kita 10 sumali team mayaman http5irpkseocom,False,,"['Idownload', 'ako', 'bigyan', 'kita', '10', 'sumali', 'team', 'mayaman', 'http5irpkseocom']"
httpsinvolcoclc31bs,False,free,['httpsinvolcoclc31bs']
luckyphilcomlogin,False,others,['luckyphilcomlogin']
httpcasinoonlinebeautytqd,False,casino/gambling,['httpcasinoonlinebeautytqd']
egamesphcomlogin,False,others,['egamesphcomlogin']
flanabret04gmailcom,False,online activity,['flanabret04gmailcom']
see proof tab f163,False,bank/money,"['See', 'Proof', 'tab', 'F163']"
santcarol18gmailcom,False,others,['santcarol18gmailcom']
http5irpkseocom,False,others,['http5irpkseocom']
bilyonaryocom,False,casino/gambling,['bilyonaryocom']
httppcplatcom,False,casino/gambling,['httppcplatcom']
mmesuccessbusiness2021,False,work,['mmeSuccessBusiness2021']
jamesbrannen4hotmailcom,False,others,['jamesbrannen4hotmailcom']
mme743315033069588,False,work,['mme743315033069588']
davidjturner005gmailcom,False,online activity,['DAVIDJTURNER005GMAILCOM']
caman6960234gmailcom,False,others,['caman6960234gmailcom']
bitlyyandex20221,False,free,['bitlyyandex20221']
link http9dv1t8com,True,others,"['Link', 'http9dv1t8com']"
bilyonaryocom,False,casino/gambling,['bilyonaryocom']
onlinebetphlivegame,False,,['onlinebetphLiveGame']
httpsslazadacomphsurr50,False,free,['httpsslazadacomphsUrR50']
httppmplay1com,False,casino/gambling,['httpPmplay1com']
httpaccasino12comlogin,False,casino/gambling,['httpaccasino12comlogin']
http2xnvtecom,False,online activity,['http2xnvtecom']
mentioned full name,False,casino/gambling,"['mentioned', 'full', 'name']"
httpsthxfxphcomyxjbo,False,bank/money,['httpsthxfxphcomYXJBO']
mentioned name,False,others,"['mentioned', 'name']"
seven bet grand opening,False,casino/gambling,"['Seven', 'Bet', 'Grand', 'Opening']"
its really important contact email soon possible diegomendoza326145gmailcom,False,others,"['Its', 'really', 'Important', 'contact', 'email', 'soon', 'possible', 'diegomendoza326145gmailcom']"
thina prime lux limited,True,casino/gambling,"['Thina', 'Prime', 'Lux', 'Limited']"
mentioned full name,False,bank/money,"['mentioned', 'full', 'name']"
mentioned name,False,bank/money,"['mentioned', 'name']"
mentioned full name,False,bank/money,"['Mentioned', 'full', 'name']"
69317uk,False,free,['69317uk']
bingopluscompal1002723180,False,casino/gambling,['bingopluscompal1002723180']
httpfdsv05site,False,online activity,['httpfdsv05site']
mega888 grand opening,False,online activity,"['Mega888', 'Grand', 'Opening']"
email details rp865233gmailcom,False,work,"['Email', 'details', 'rp865233gmailcom']"
luckyphilcomlogin,False,bank/money,['luckyphilcomlogin']
httpsslazadacomphsfjvym,False,free,['httpsslazadacomphsfJVYM']
travelsgreattravelagencygreatsitenet,False,work,['travelsgreattravelagencygreatsitenet']
bingoplus,False,casino/gambling,['BingoPlus']
mentioned full name,False,work,"['Mentioned', 'full', 'name']"
bingoplus,False,casino/gambling,['BingoPlus']
mentioned full name,False,casino/gambling,"['Mentioned', 'full', 'name']"
mentioned name,False,online activity,"['mentioned', 'name']"
dyhk754gmailcom,False,casino/gambling,['dyhk754gmailcom']
httpfdsc03site,False,online activity,['httpfdsc03site']
wame27814850926,False,work,['wame27814850926']
sending suspicous links,False,casino/gambling,"['Sending', 'Suspicous', 'Links']"
egamesphcomlogin,False,bank/money,['egamesphcomlogin']
tmekaya98765,False,work,['tmeKaYa98765']
sending suspicous links,False,online activity,"['Sending', 'Suspicous', 'Links']"
httpfdsv07site,False,bank/money,['httpfdsv07site']
httpfdsv19info,False,bank/money,['httpfdsv19info']
mentioned full name,False,online activity,"['Mentioned', 'full', 'name']"
barelenadublingmailcom,False,others,['barelenadublingmailcom']
sara duterte campaign,False,others,"['Sara', 'Duterte', 'Campaign']"
fdsv04site,False,bank/money,['fdsv04site']
httpfdsv12online,False,bank/money,['httpfdsv12online']
httpstco1loekaxtlf,False,others,['httpstco1LOEKAXtLF']
superwoodhotelukgmailcom,False,work,['superwoodhotelukgmailcom']
httpsslazadacomphs4zgrn,False,online activity,['httpsslazadacomphs4ZgRn']
mcguirem707gmailcom,False,online activity,['mcguirem707gmailcom']
baph440gmailcom,False,online activity,['baph440gmailcom']
vyc772233gmailcom,False,online activity,['vyc772233gmailcom']
bilyonaryocom,False,casino/gambling,['bilyonaryocom']
kopiko magkapera secretary jhon carlo martinez,False,casino/gambling,"['KOPIKO', 'MAGKAPERA', 'Secretary', 'Jhon', 'Carlo', 'Martinez']"
httpnuob0p7gcom,False,casino/gambling,['httpnuob0p7gcom']
mybitglobal http4ot7daticom,False,free,"['mybitglobal', 'http4ot7daticom']"
httpsinvolcoclc31bs,False,free,['httpsinvolcoclc31bs']
httpbitlyjbgamingph,False,online activity,['httpbitlyJBGamingPH']
knows name,False,work,"['knows', 'name']"
httpsbitly3rb4pyj,False,casino/gambling,['httpsbitly3Rb4pyJ']
qualityinnsuitescaliforniamailcom,False,work,['qualityInnsuitescaliforniamailcom']
httpcasjp3com,False,bank/money,['httpcasjp3com']
httpkok535com,False,bank/money,['httpkok535com']
0kada 0nline casino httpsbitly3cdhbfv,False,casino/gambling,"['0kada', '0nline', 'casino', 'httpsbitly3CDHbfV']"
smscastercom congratulation your number selected among winners covid_19 relief fundsgrant 50000000 usd ref cov19 kindly contact helpdesk claims infoifchelpdeskkgmailcom,False,others,"['SMSCastercom', 'Congratulation', 'Your', 'number', 'selected', 'among', 'Winners', 'COVID_19', 'Relief', 'Fundsgrant', '50000000', 'USD', 'Ref', 'COV19', 'Kindly', 'contact', 'helpdesk', 'claims', 'infoifchelpdeskkgmailcom']"
netflix mug,False,online activity,"['Netflix', 'mug']"
httpbitlyjbgaming,False,casino/gambling,['httpbitlyJBGaming']
httpox4xtucom,False,bank/money,['httpox4xtucom']
bilyonaryocom,False,casino/gambling,['bilyonaryocom']
invest small amount 1peso l0wbet manalo 65million jackpot bitlybingoplus2 free40php signup easy cash inout via gcash,False,bank/money,"['Invest', 'small', 'amount', '1peso', 'l0wbet', 'manalo', '65Million', 'jackpot', 'bitlyBINGOPLUS2', 'Free40PHP', 'signup', 'Easy', 'cash', 'inout', 'via', 'gcash']"
64m jackpot prize try luck 1p l0wbet free 40p register join now bitlybingoplusphapp,False,casino/gambling,"['64M', 'JACKPOT', 'PRIZE', 'Try', 'luck', '1p', 'L0WBET', 'Free', '40p', 'register', 'Join', 'now', 'bitlyBingoplusPHAPP']"
 sa mybitglobal magbukas account pera magandang oportunidad kunin httplfhh5xcom,False,others,"['sa', 'mybitglobal', 'magbukas', 'account', 'pera', 'Magandang', 'oportunidad', 'kunin', 'httplfhh5xcom']"
 mybitglobal lagyan yaman bulsa http5irpkseocom,False,others,"['mybitglobal', 'lagyan', 'yaman', 'bulsa', 'http5irpkseocom']"
 magbibigay red envelope oportunidad makakuha 1000 httplais7mcom,False,others,"['Magbibigay', 'red', 'envelope', 'oportunidad', 'makakuha', '1000', 'httplais7mcom']"
may sorpresa bagong miyembro magdeposito 100 bonus httpfdsv20info,False,bank/money,"['May', 'sorpresa', 'bagong', 'miyembro', 'magdeposito', '100', 'bonus', 'httpfdsv20info']"
do you received my sms my dearlet me know in sophiavillanueva53hotmailcom its urgent,False,online activity,"['DO', 'YOU', 'RECEIVED', 'MY', 'SMS', 'MY', 'DEARLET', 'ME', 'KNOW', 'IN', 'sophiavillanueva53hotmailcom', 'ITS', 'URGENT']"
daw po yung masuwerteng bituin t1bet,False,casino/gambling,"['daw', 'po', 'yung', 'masuwerteng', 'bituin', 'T1BET']"
daw po yung masuwerteng bituin t1bet,False,casino/gambling,"['daw', 'po', 'yung', 'masuwerteng', 'bituin', 'T1BET']"
solar 3 way lights sobra ganda at formal ilagay sa wall click here for picture and price httpsslazadacomphs4zgrn buy 1 take 1 today only,False,free,"['SOLAR', '3', 'WAY', 'LIGHTS', 'SOBRA', 'GANDA', 'AT', 'FORMAL', 'ILAGAY', 'SA', 'WALL', 'CLICK', 'HERE', 'FOR', 'PICTURE', 'AND', 'PRICE', 'httpsslazadacomphs4ZgRn', 'BUY', '1', 'TAKE', '1', 'TODAY', 'ONLY']"
httpsfbwatchcpow3y9ya5,False,others,['httpsfbwatchcPoW3Y9ya5']
hey respond now please jwarjfkjgmailcom hard reach you,False,online activity,"['Hey', 'Respond', 'now', 'please', 'jwarjfkjgmailcom', 'hard', 'reach', 'you']"
ang pangarap bansa ipagkaisa sambayanang pilipino at haharap buong mundo sasabihin isisigaw natin ako ay pilipino taas noo kahit kanino httpswwwfacebookcombongbongmarcosvideos766933458023298 please like share maraming salamat po,False,others,"['Ang', 'pangarap', 'bansa', 'ipagkaisa', 'sambayanang', 'Pilipino', 'At', 'haharap', 'buong', 'mundo', 'sasabihin', 'isisigaw', 'natin', 'AKO', 'AY', 'PILIPINO', 'TAAS', 'NOO', 'KAHIT', 'KANINO', 'httpswwwfacebookcomBongbongMarcosvideos766933458023298', 'Please', 'LIKE', 'SHARE', 'Maraming', 'salamat', 'po']"
namenagbigay pera mybitglobal pindutin magbukas account 600p httpcasjp3com,False,others,"['namenagbigay', 'pera', 'mybitglobal', 'pindutin', 'magbukas', 'account', '600p', 'httpcasjp3com']"
pinakamahusay online platform name 5c2sh partner icl5ck magcl5im 10000 b2nus ngayon n8qcdekkpy jijiphcomphilipines1314,False,casino/gambling,"['Pinakamahusay', 'online', 'platform', 'name', '5C2SH', 'partner', 'Icl5ck', 'magcl5im', '10000', 'b2nus', 'ngayon', 'N8qCdEKKpY', 'jijiphcomPHILIPINES1314']"
full name kaibigan bibigyan 600p cash reward pindot kunin httplais7mcom,False,free,"['full', 'name', 'Kaibigan', 'Bibigyan', '600p', 'cash', 'reward', 'pindot', 'kunin', 'httplais7mcom']"
congratulations your nohad win php58000000 1yamaha nmax from kopiko blanca magkapera claim prize text nameageadd and work thank you,False,casino/gambling,"['Congratulations', 'Your', 'nohad', 'Win', 'Php58000000', '1YAMAHA', 'NMAX', 'From', 'KOPIKO', 'BLANCA', 'MAGKAPERA', 'claim', 'prize', 'text', 'NAMEAGEADD', 'And', 'WORK', 'Thank', 'you']"
4 pirasong solar lights halagang 1499 click eto bumili httpsslazadacomphsurr50 yes apat piraso dahil naka sale ngayon 100 watts isa 400 watts total watts 4 piraso good deal sobrang tipid 3 modes steady lights sensor lights dim lights,False,online activity,"['4', 'pirasong', 'SOLAR', 'LIGHTS', 'halagang', '1499', 'Click', 'eto', 'bumili', 'httpsslazadacomphsUrR50', 'Yes', 'Apat', 'piraso', 'Dahil', 'naka', 'SALE', 'ngayon', '100', 'watts', 'isa', '400', 'watts', 'total', 'watts', '4', 'piraso', 'Good', 'deal', 'sobrang', 'tipid', '3', 'modes', 'STEADY', 'LIGHTS', 'SENSOR', 'LIGHTS', 'DIM', 'LIGHTS']"
handog sayo name sa bagong platform bansa wplus 5500 bonus 3 deposito n8qcdekkpy wplus4youcomm3l3k3ngb5n5s,False,bank/money,"['Handog', 'sayo', 'name', 'Sa', 'bagong', 'platform', 'bansa', 'Wplus', '5500', 'bonus', '3', 'deposito', 'N8qCdEKKpY', 'wplus4youcomM3l3k3ngb5n5s']"
inaakit tinetext asawa tawag tawag umuungol,False,others,"['Inaakit', 'tinetext', 'asawa', 'tawag', 'tawag', 'umuungol']"
its really important contact email soon possible brettf829gmailcom,False,online activity,"['Its', 'really', 'important', 'contact', 'email', 'soon', 'possible', 'brettf829gmailcom']"
name kaibigan sense ba magsend libreng pera pindutin kuninhttp2xnvtecom,False,bank/money,"['name', 'Kaibigan', 'sense', 'ba', 'magsend', 'libreng', 'pera', 'Pindutin', 'kuninhttp2xnvtecom']"
dear watch sexy deaier tonight enter exclusive vip code ganda login luckyphilcomlogin,False,others,"['Dear', 'Watch', 'sexy', 'deaIer', 'tonight', 'Enter', 'exclusive', 'VIP', 'code', 'GANDA', 'login', 'luckyphilcomlogin']"
dear our valuable customer welcome back claim your rebate our jili fc jackpot is awaiting you you access httpswinnkintho4o,False,casino/gambling,"['Dear', 'Our', 'Valuable', 'Customer', 'Welcome', 'Back', 'Claim', 'Your', 'Rebate', 'Our', 'JILI', 'FC', 'Jackpot', 'Is', 'Awaiting', 'You', 'You', 'access', 'httpswinnkintHO4o']"
bdo alert your account temporarily onhold due security purposes kindly verify account httpstlybdoalertverify_,False,bank/money,"['BDO', 'ALERT', 'Your', 'account', 'temporarily', 'onhold', 'due', 'security', 'purposes', 'Kindly', 'verify', 'account', 'httpstlyBDOAlertVerify_']"
greetings gcash claim php 3500 worth gcash loyalty card provided gcash credit redeem here httpstwtrtogsaveteams from gcredit,False,bank/money,"['Greetings', 'GCash', 'Claim', 'PHP', '3500', 'worth', 'GCash', 'Loyalty', 'Card', 'provided', 'GCash', 'Credit', 'Redeem', 'here', 'httpstwtrtoGSaveTeams', 'From', 'GCredit']"
congratulations your nohad win php58000000 1yamaha nmax from kopiko blanca magkapera claim prize text nameageadd and work thank you,False,casino/gambling,"['Congratulations', 'Your', 'nohad', 'Win', 'Php58000000', '1YAMAHA', 'NMAX', 'From', 'KOPIKO', 'BLANCA', 'MAGKAPERA', 'claim', 'prize', 'text', 'NAMEAGEADD', 'And', 'WORK', 'Thank', 'you']"
inbt amusement benefit fast gcash paymaya inout first deposit will cash back 3 httpspawsindin7k4qm 6lkk,False,bank/money,"['INBT', 'Amusement', 'benefit', 'Fast', 'GCASH', 'Paymaya', 'INOUT', 'First', 'deposit', 'will', 'cash', 'back', '3', 'httpspawsindin7K4qm', '6lKk']"
write here important  waiting gregrch34gmailcom 3x nag text,False,online activity,"['Write', 'here', 'important', 'waiting', 'gregrch34gmailcom', '3x', 'nag', 'text']"
okbet umiwas peke site dito okbet httpsnsfevgsacom,False,others,"['OKBET', 'Umiwas', 'peke', 'site', 'Dito', 'OKBET', 'httpsnsfevgsacom']"
reach network contact urgently sistersjavera79yahoocom 3x nag text,False,online activity,"['reach', 'network', 'contact', 'urgently', 'sistersjavera79yahoocom', '3x', 'nag', 'text']"
good day mr joshua mcconnell please reply immediately emailmccllj458gmailcom,False,online activity,"['Good', 'day', 'Mr', 'Joshua', 'McConnell', 'Please', 'reply', 'immediately', 'Emailmccllj458gmailcom']"
4 pirasong solar lights halagang 1499 click eto bumili httpsslazadacomphsurr50 yes apat piraso dahil naka sale ngayon 100 watts isa 400 watts total watts 4 piraso good deal sobrang tipid 3 modes steady lights sensor lights dim lights,False,free,"['4', 'pirasong', 'SOLAR', 'LIGHTS', 'halagang', '1499', 'Click', 'eto', 'bumili', 'httpsslazadacomphsUrR50', 'Yes', 'Apat', 'piraso', 'Dahil', 'naka', 'SALE', 'ngayon', '100', 'watts', 'isa', '400', 'watts', 'total', 'watts', '4', 'piraso', 'Good', 'deal', 'sobrang', 'tipid', '3', 'modes', 'STEADY', 'LIGHTS', 'SENSOR', 'LIGHTS', 'DIM', 'LIGHTS']"
tadznasayo swerte libreng 10 sayo httpaq63xicom,False,bank/money,"['TadzNasayo', 'swerte', 'libreng', '10', 'sayo', 'httpaq63xicom']"
ngayon po start big sale up 60 discount items namin click product httpsslazadacomphsuf1ha meron po kaming solar lights emergency lights massage gun laptop stand air purifier facial acne steamer air fryer madami pang iba,False,online activity,"['Ngayon', 'po', 'Start', 'Big', 'Sale', 'Up', '60', 'discount', 'items', 'namin', 'Click', 'product', 'httpsslazadacomphsUF1Ha', 'Meron', 'po', 'kaming', 'Solar', 'Lights', 'Emergency', 'lights', 'Massage', 'gun', 'Laptop', 'stand', 'Air', 'purifier', 'Facial', 'Acne', 'steamer', 'Air', 'fryer', 'madami', 'pang', 'iba']"
ew ph game platform online let play  prefer game and win big cash register now free 178 bonus only at cod11cc,False,online activity,"['ew', 'PH', 'Game', 'Platform', 'Online', 'Let', 'Play', 'Prefer', 'Game', 'AND', 'WiN', 'BIG', 'CasH', 'Register', 'Now', 'FREE', '178', 'BONUS', 'ONLY', 'AT', 'cod11cc']"
4 pirasong solar lights halagang 1499 click eto bumili httpsslazadacomphsurr50 yes apat piraso dahil naka sale ngayon,False,free,"['4', 'pirasong', 'SOLAR', 'LIGHTS', 'halagang', '1499', 'Click', 'eto', 'bumili', 'httpsslazadacomphsUrR50', 'Yes', 'Apat', 'piraso', 'Dahil', 'naka', 'SALE', 'ngayon']"
ideaichoice saisangdpositbakamakhanghigit5kpessbnus httpphonlinebeautynfx 24h1mmediatecshinout,False,free,"['ideaIChoice', 'Saisangdpositbakamakhanghigit5kpessbnus', 'httpphonlinebeautynfX', '24H1mmediateCshInOut']"
try hot games slot poker sports more 100 deposit rebate come play live casino girls onlinebetphjbgame,False,online activity,"['Try', 'hot', 'Games', 'Slot', 'Poker', 'Sports', 'MORE', '100', 'Deposit', 'rebate', 'Come', 'play', 'Live', 'Casino', 'girls', 'onlinebetphJBgame']"
sa maliit halaga chance milyonaryo,False,others,"['Sa', 'maliit', 'halaga', 'chance', 'MILYONARYO']"
greetings gcredit please claim php 5000 worth gcash loyalty card provided gcredit team claim here httpstlygcashph,False,online activity,"['Greetings', 'GCredit', 'Please', 'Claim', 'PHP', '5000', 'worth', 'GCash', 'Loyalty', 'Card', 'provided', 'GCredit', 'Team', 'Claim', 'here', 'httpstlygcashph']"
pagod ba mag hapon pagtratrabaho marerelax new massage gun click here to buy httpsslazadacomphsuum6r naka sale ngayon,False,online activity,"['Pagod', 'ba', 'mag', 'hapon', 'pagtratrabaho', 'Marerelax', 'NEW', 'MASSAGE', 'GUN', 'CLICK', 'HERE', 'TO', 'BUY', 'httpsslazadacomphsUUM6r', 'Naka', 'SALE', 'ngayon']"
solar 3 way lights sobra ganda at formal ilagay sa wall click here for picture and price httpsslazadacomphsfz8pd buy 1 take 1 today only,False,free,"['SOLAR', '3', 'WAY', 'LIGHTS', 'SOBRA', 'GANDA', 'AT', 'FORMAL', 'ILAGAY', 'SA', 'WALL', 'CLICK', 'HERE', 'FOR', 'PICTURE', 'AND', 'PRICE', 'httpsslazadacomphsfz8pd', 'BUY', '1', 'TAKE', '1', 'TODAY', 'ONLY']"
hindi magiging katotohanan kasinungalingan maski post yan libu lbong tao maski viral trending maging mapanuri posts bloggers vloggers influencers2182,False,others,"['Hindi', 'magiging', 'katotohanan', 'kasinungalingan', 'maski', 'post', 'yan', 'libu', 'lbong', 'tao', 'maski', 'viral', 'trending', 'Maging', 'mapanuri', 'posts', 'bloggers', 'vloggers', 'influencers2182']"
register depo get up to php5000 welcome bonussmall amount win big 2m jackpot247chathttpsatbunnybethelp visithttpstlyatebunny02com,False,bank/money,"['REGISTER', 'DEPO', 'GET', 'UP', 'TO', 'PHP5000', 'WELCOME', 'BONUSSmall', 'amount', 'win', 'BIG', '2M', 'JACKPOT247chathttpsatbunnybethelp', 'VISIThttpstlyATEbunny02com']"
your bdo number suspended notice reactivate official page httpsrebrandlys08h7th,False,bank/money,"['Your', 'BDO', 'number', 'suspended', 'notice', 'ReActivate', 'official', 'page', 'httpsrebrandlys08h7th']"
4 pcs solar lights for only 1499 pinaka mura solar market bili na click here to buy httpstinyurlcom4en84z45 buy 2 take 2 today only,False,free,"['4', 'PCS', 'SOLAR', 'LIGHTS', 'FOR', 'ONLY', '1499', 'Pinaka', 'mura', 'Solar', 'Market', 'BILI', 'NA', 'CLICK', 'HERE', 'TO', 'BUY', 'httpstinyurlcom4en84z45', 'BUY', '2', 'TAKE', '2', 'TODAY', 'ONLY']"
solar 3 way lights sobra ganda at formal ilagay sa wall click for pricebuy httpsslazadacomphsv9nyq shop now new item 58 off sale buy 1 take 1 today only pakiclick ang link sa taas para makita ang presyo at pictures led super bright 3 adjustable heads motion sensor lights waterproof wireless tipid sa kuryente iwas magnanakaw at akyatbahay sa gabi,False,free,"['SOLAR', '3', 'WAY', 'LIGHTS', 'SOBRA', 'GANDA', 'AT', 'FORMAL', 'ILAGAY', 'SA', 'WALL', 'CLICK', 'FOR', 'PRICEBUY', 'httpsslazadacomphsV9Nyq', 'Shop', 'Now', 'NEW', 'ITEM', '58', 'OFF', 'SALE', 'BUY', '1', 'TAKE', '1', 'TODAY', 'ONLY', 'PAKICLICK', 'ANG', 'LINK', 'SA', 'TAAS', 'PARA', 'MAKITA', 'ANG', 'PRESYO', 'AT', 'PICTURES', 'LED', 'Super', 'Bright', '3', 'Adjustable', 'Heads', 'Motion', 'Sensor', 'Lights', 'Waterproof', 'Wireless', 'TIPID', 'SA', 'KURYENTE', 'IWAS', 'MAGNANAKAW', 'AT', 'AKYATBAHAY', 'SA', 'GABI']"
idealchoice sa dposit baka makha higit 10k pesos bonus 247 im mediate cash inout httpokadaonlineshopexh,False,bank/money,"['IdealChoice', 'Sa', 'dposit', 'baka', 'makha', 'higit', '10k', 'pesos', 'bonus', '247', 'Im', 'mediate', 'Cash', 'InOut', 'httpokadaonlineshopexH']"
